Title,Assigned To,Automatable,Automated,Expected Result,Priority,Steps,Test Run-type,Type,UI Case
Traffic Forwarding - Web traffic forwarding test,Vishal Rastogi,Yes,No,The web traffic should be forwarded to VIP of the proxy on the configured port. ,Blocker (P0),Send the web traffic from the client side(JMeter or Ixia),New Feature,Positive Test Cases,No
Traffic Forwarding - Non-web traffic forwarding test,Vishal Rastogi,Yes,No,The non-web traffic should be forwarded to the VIP of CFW on the configured port. ,Blocker (P0),Send the non-web from the client side(JMeter or Ixia),New Feature,Positive Test Cases,No
Traffic Forwarding - Multiple tunnel traffic forwarding test ,Vishal Rastogi,Yes,No,The traffic should be forwarded via correct GRE tunnel. ,Blocker (P0),Configure multiple tunnels and send traffic through those tunnels,New Feature,Positive Test Cases,No
Traffic Forwarding - Custom port traffic forwarding test ,Vishal Rastogi,Yes,No,The custom port traffic should be forwarded to the VIP of the proxy. ,Blocker (P0),Configure a custom port and send traffic on that port. ,New Feature,Positive Test Cases,No
All service Validation,Vishal Rastogi,Yes,No,All the supervisorctl services should be in the running state. ,Blocker (P0),Check the status of “supervisorctl status”,New Feature,Positive Test Cases,No
Health Check - Status 200,Vishal Rastogi,Yes,No,The health check should return the status 200,Critical (P1),Enable all the services behind the ECGS gateway ,New Feature,Positive Test Cases,No
Health Check - Status 503 in case of either CFW or proxy failure,Vishal Rastogi,Yes,No,"The health check should return the status 503, and that tunnel should be removed from the POP",Critical (P1),"Create multiple tunnels, and one of the tunnels should pass traffic to CFW, and make the CFW disable  ",New Feature,Positive Test Cases,No
Health Check - Status 503,Vishal Rastogi,Yes,No,The health check should return the status 503,Critical (P1),The health check should return the status 503,New Feature,Negative Test Cases,No
Tunnel status on all ECGW,Vishal Rastogi,Yes,No,All the tunnels should be present in all the ECGS gateways,Blocker (P0),Check the GRE tunnel on all the ECGW gateways,New Feature,Positive Test Cases,No
Traffic stickiness for endpoints,Vishal Rastogi,Yes,No,All the traffic from single endpoint should land to single ECGS gateway ,Blocker (P0),Take the pcap for one client IP on all the ECGW gateways ,New Feature,Positive Test Cases,No
POP failure test - CFW failure with no CFW feature,Vishal Rastogi,Yes,No,The traffic should work as normal as CFW feature is not enable for the tenant. ,Critical (P1),"Shutdown the CFW and keep the proxy active, and send the traffic only through the proxy ",New Feature,Negative Test Cases,No
POP failure test - CFW failure with CFW feature,Vishal Rastogi,Yes,No,All the tenant with CFW feature should be removed from the device.(gre interface should be marked down),Critical (P1),"Shutdown the CFW and keep the proxy active, and send the traffic for both the CFW and the proxy ",New Feature,Negative Test Cases,No
POP failure test - proxy failure with no proxy feature,Vishal Rastogi,Yes,No,The traffic should work as normal for all the tenant which are not using proxy functionality. ,Critical (P1),"Shutdown the proxy and keep the CFW active, and send the traffic for CFW ",New Feature,Negative Test Cases,No
POP failure test - proxy failure with proxy feature,Vishal Rastogi,Yes,No,All the tenants using proxy feature should be removed from the node. ,Critical (P1),"Shutdown the proxy and keep the CFW active, and send the traffic for both the CFW and the proxy ",New Feature,Negative Test Cases,No
POP failure test - proxy and CFW failure,Vishal Rastogi,Yes,No,All the tenant should be removed from the nodes. ,Critical (P1),Shutdown both CFW and proxy and send traffic for both,New Feature,Negative Test Cases,No
Event forwarding - logs availability in nsmetric.log file and mongo db,Vishal Rastogi,Yes,No,The event logs and mongo db should show the same entry and have the same fields ,Critical (P1),Enable the debug mode and monitor the log file /opt/ns/log/nsmetric.log,New Feature,Positive Test Cases,No
Event forwarding - Logs fields ,Vishal Rastogi,Yes,No,It should have all the required entries with correct values. ,Critical (P1),Check the fields in the event logs,New Feature,Positive Test Cases,No
Event forwarding - Check the event channel type,Vishal Rastogi,Yes,No,We should be using GRPC channel instead of ZMQ ,Critical (P1),Check the event channel type ,New Feature,Positive Test Cases,No
Probe IP - in case of CFW health check failure,Vishal Rastogi,Yes,No,The probe ip should stop responding if HC towards CFW fails on all nodes and cfw is marked as true,Critical (P1),"Shutdown the CFW and keep the proxy active, and monitor the prob for tenant which has cfw feature. ",New Feature,Positive Test Cases,No
Probe IP - in case of proxy health check failure,Vishal Rastogi,Yes,No,The probe ip should stop responding if HC towards Proxy fails on all nodes and proxy is marked as true,Critical (P1),"Shutdown the Proxy and keep the CFW active, and monitor the prob for tenant which has proxy feature. ",New Feature,Positive Test Cases,No
Probe IP - in case of both CFW and proxy health check failure,Vishal Rastogi,Yes,No,The probe ip should stop responding if HC towards both CFW and Proxy fails on all nodes and proxy is marked as true,Critical (P1),"Shutdown the both Proxy and CFW, and monitor the prob for tenant which has either proxy or cfw feature. ",New Feature,Positive Test Cases,No
Probe IP - in case of services failure on the device,Vishal Rastogi,Yes,No,The probe ip should stop responding if the services are in down state in all available nodes. ,Critical (P1),"Change the service status as down on all nodes, and monitor the prob on any tenant. ",New Feature,Positive Test Cases,No
